GeneId,GeneName,Chromosome,Strand,GeneStart,GeneEnd,KaryotypeBand,Synonyms
ENSG00000253826,WBP1LP10,11,1,75780,76143,p15.5,HGNC:51470
ENSG00000224777,OR4F2P,11,-1,86649,87586,p15.5,HGNC:8299
ENSG00000270921,CICP23,11,1,123312,126123,p15.5,HGNC:48833
ENSG00000230724,LINC01001,11,-1,127204,139612,p15.5,HGNC:38540
ENSG00000222225,RNU6-447P,11,-1,152999,153102,p15.5,HGNC:47410
ENSG00000177951,BET1L,11,-1,167784,207428,p15.5,HGNC:19348
ENSG00000188076,SCGB1C1,11,1,193078,194575,p15.5,HGNC:18394
ENSG00000177947,ODF3,11,1,196761,200261,p15.5,HGNC:19905
ENSG00000177963,RIC8A,11,1,207708,215113,p15.5,HGNC:29550
ENSG00000283920,MIR6743,11,1,209336,209406,p15.5,HGNC:50008
ENSG00000142082,SIRT3,11,-1,215030,236931,p15.5,HGNC:14931
ENSG00000185627,PSMD13,11,1,236966,252984,p15.5,HGNC:9558
ENSG00000174885,NLRP6,11,1,278407,285388,p15.5,HGNC:22944
ENSG00000142102,PGGHG,11,1,289126,296107,p15.5,HGNC:26210
ENSG00000206013,IFITM5,11,-1,298200,299526,p15.5,HGNC:16644
ENSG00000185201,IFITM2,11,1,303655,309397,p15.5,HGNC:5413
ENSG00000185885,IFITM1,11,1,310041,315272,p15.5,HGNC:5412
ENSG00000142089,IFITM3,11,-1,319676,329475,p15.5,HGNC:5414
ENSG00000182272,B4GALNT4,11,1,369499,382117,p15.5,HGNC:26315
ENSG00000184363,PKP3,11,1,392614,404908,p15.5,HGNC:9025
ENSG00000185187,SIGIRR,11,-1,405716,417455,p15.5,HGNC:30575
ENSG00000185101,ANO9,11,-1,417933,442011,p15.5,HGNC:20679
ENSG00000243562,RN7SL838P,11,-1,440399,440693,p15.5,HGNC:46854
ENSG00000174915,PTDSS2,11,1,448268,491399,p15.5,HGNC:15463
ENSG00000023191,RNH1,11,-1,494512,507300,p15.5,HGNC:10074
ENSG00000174775,HRAS,11,-1,532242,537321,p15.5,HGNC:5173
ENSG00000161328,LRRC56,11,1,537527,554912,p15.5,HGNC:25430
ENSG00000185522,LMNTD2,11,-1,554850,560738,p15.5,HGNC:28561
ENSG00000254815,LMNTD2-AS1,11,1,557595,560107,p15.5,HGNC:41204
ENSG00000099849,RASSF7,11,1,560404,564025,p15.5,HGNC:1166
ENSG00000247095,MIR210HG,11,-1,565660,568457,p15.5,HGNC:39524
ENSG00000199038,MIR210,11,-1,568089,568198,p15.5,HGNC:31587
ENSG00000070047,PHRF1,11,1,576470,612222,p15.5,HGNC:24351
ENSG00000185507,IRF7,11,-1,612553,615983,p15.5,HGNC:6122
ENSG00000099834,CDHR5,11,-1,616577,626078,p15.5,HGNC:7521
ENSG00000070031,SCT,11,-1,626309,627181,p15.5,HGNC:10607
ENSG00000069696,DRD4,11,1,637269,640706,p15.5,HGNC:3025
ENSG00000177030,DEAF1,11,-1,644233,707118,p15.5,HGNC:14677
ENSG00000177106,EPS8L2,11,1,694438,727727,p15.5,HGNC:21296
ENSG00000177042,TMEM80,11,1,695591,705028,p15.5,HGNC:27453
ENSG00000177156,TALDO1,11,1,747415,765012,p15.5,HGNC:11559
ENSG00000177225,GATD1,11,-1,767220,777488,p15.5,HGNC:26616
ENSG00000184524,CEND1,11,-1,787115,790113,p15.5,HGNC:24153
ENSG00000177542,SLC25A22,11,-1,790475,798281,p15.5,HGNC:19954
ENSG00000177595,PIDD1,11,-1,799179,809753,p15.5,HGNC:16491
ENSG00000177600,RPLP2,11,1,809965,812880,p15.5,HGNC:10377
ENSG00000199785,SNORA52,11,1,811681,811814,p15.5,HGNC:32645
ENSG00000177666,PNPLA2,11,1,818914,825573,p15.5,HGNC:30802
ENSG00000177685,CRACR2B,11,1,826144,831991,p15.5,HGNC:28703
ENSG00000177697,CD151,11,1,832887,839831,p15.5,HGNC:1630
ENSG00000177700,POLR2L,11,-1,837356,842529,p15.5,HGNC:9199
ENSG00000214063,TSPAN4,11,1,842812,867116,p15.5,HGNC:11859
